714,Marc E. Bassy ,You & Me,214,0.0,16,0,619529,7.4019535E7
375,Bad Bunny ,Yonaguni,347,14.0,3,(x2),1727530,1.33665412E8
36,Lil Baby ,Yes Indeed,970,43.0,2,(x9),1838350,4.00193604E8
742,Troye Sivan ,YOUTH,249,0.0,18,0,484289,7.0909568E7
395,Travis Scott ,YOSEMITE,320,4.0,7,0,2092634,1.27780533E8
350,Yot Club ,YKWIM?,504,0.0,58,0,351933,1.39804345E8
3,Lil Uzi Vert ,XO TOUR Llif3,1853,212.0,1,(x4),1660502,7.81153024E8
239,21 Savage ,X,555,0.0,14,0,597896,1.78576237E8
33,Post Malone ,Wow.,699,115.0,1,(x6),2317682,4.05812776E8
881,Fifth Harmony ,Worth It,300,0.0,13,0,391863,5.9256843E7
855,YK Osiris ,Worth It,221,0.0,68,0,365266,6.1209429E7
223,Fifth Harmony ,Work from Home,420,116.0,3,(x21),1004803,1.84122003E8
608,J. Cole ,Work Out,346,0.0,96,0,323602,8.6907626E7
195,Rihanna ,Work,408,91.0,1,(x62),1843176,1.99973584E8
155,Doja Cat ,Woman,489,26.0,7,0,864796,2.32370353E8
530,Selena Gomez ,Wolves,212,9.0,3,(x1),1274551,1.00276358E8
414,Lil Baby ,Woah,269,0.0,11,0,1046993,1.22876453E8
59,Halsey ,Without Me,617,113.0,5,0,1345243,3.20826979E8
93,Juice WRLD ,Wishing Well,625,65.0,1,(x6),2817191,2.77821416E8
357,DJ Khaled ,Wild Thoughts,231,71.0,1,(x1),1578440,1.38033504E8
702,Alessia Cara ,Wild Things,230,0.0,20,0,524887,7.5034774E7
949,Future ,Wicked,218,0.0,32,0,407393,5.5381955E7
464,CJ ,Whoopty,230,58.0,3,(x3),834077,1.11327394E8
758,Nardo Wick ,Who Want Smoke??,197,0.0,19,0,544100,6.970077E7
982,The Chainsmokers ,Who Do You Love,160,0.0,28,0,796933,5.3239474E7
84,Post Malone ,White Iverson,1069,45.0,7,0,613541,2.88882157E8
333,Bing Crosby ,White Christmas,280,17.0,1,(x1),2836396,1.44606354E8
42,Morgan Wallen ,Whiskey Glasses,1324,0.0,33,0,447546,3.85368118E8
622,Future ,Where Ya At,447,0.0,24,0,305171,8.5639079E7
366,Jack Ü ,Where Are Ü Now,447,118.0,3,(x1),564731,1.35999812E8
411,Luke Combs ,When It Rains It Pours,565,0.0,84,0,306131,1.23431139E8
570,Drake ,What’s Next,189,22.0,1,(x14),3687689,9.3677191E7
228,Pop Smoke ,What You Know Bout Love,422,44.0,5,0,945575,1.82024316E8
507,Russ ,What They Want,537,0.0,56,0,299961,1.03833455E8
457,Maroon 5 ,What Lovers Do,227,4.0,7,0,925163,1.13203255E8
573,Kane Brown ,What Ifs,381,0.0,45,0,464191,9.3232207E7
219,Justin Bieber ,What Do You Mean?,413,153.0,1,(x24),1358577,1.85795808E8
170,J. Cole ,Wet Dreamz,1130,0.0,12,0,397175,2.17277232E8
744,AJR ,Weak,254,0.0,26,0,487994,7.0880026E7
992,Dua Lipa ,We're Good,154,1.0,10,0,695072,5.2250269E7
504,Lil Baby ,We Paid,283,10.0,9,0,824708,1.04746275E8
537,Charlie Puth ,We Don't Talk Anymore,319,0.0,15,0,671737,9.8211121E7
265,Drake ,Way 2 Sexy,280,68.0,1,(x12),4962771,1.70202629E8
943,Kanye West ,Waves,252,0.0,14,0,587368,5.5997889E7
32,Harry Styles ,Watermelon Sugar,988,65.0,3,(x3),1609066,4.09073262E8
897,Silentó ,Watch Me (Whip / Nae Nae),242,22.0,8,0,475998,5.8353609E7
131,Morgan Wallen ,Wasted On You,687,10.0,1,(x1),1232815,2.46675467E8
519,Juice WRLD ,Wasted,268,0.0,20,0,709978,1.01797919E8
79,Drake ,Wants and Needs,645,25.0,2,(x10),3489465,2.97154583E8
632,NAV ,Wanted You,236,0.0,23,0,619512,8.4451429E7
696,Jason Derulo ,Want to Want Me,347,73.0,4,0,554586,7.5507123E7
270,Migos ,Walk It Talk It,358,14.0,3,(x1),1584838,1.68214275E8
451,NLE Choppa ,Walk Em Down,246,0.0,12,0,730180,1.13510926E8
215,Gucci Mane ,Wake Up in the Sky,340,14.0,6,0,1070430,1.89926403E8
465,WILLOW ,Wait a Minute!,384,0.0,12,0,578328,1.11162304E8
834,Quavo ,WORKIN ME,168,0.0,27,0,805382,6.3244762E7
321,The Kid LAROI ,WITHOUT YOU,338,33.0,6,0,769614,1.47434939E8
172,Jack Harlow ,WHATS POPPIN,444,77.0,6,0,1030175,2.1262078E8
141,Jack Harlow ,WHATS POPPIN,519,89.0,2,(x12),1248272,2.38356467E8
80,Cardi B ,WAP,417,112.0,1,(x64),3030510,2.96670667E8
291,Future ,WAIT FOR U,243,24.0,2,(x1),1885004,1.60359546E8
938,Taylor Swift ,Vigilante Shit,56,11.0,7,0,5696233,5.6313777E7
846,Bad Bunny ,Vete,166,2.0,5,0,1196381,6.2061796E7
418,Doja Cat ,Vegas (From the Original Motion Picture Soundtrack ELVIS),234,29.0,7,0,922178,1.21176458E8
386,DaBaby ,VIBEZ,285,2.0,4,0,1371845,1.29872425E8
847,24kGoldn ,VALENTINO,183,0.0,41,0,482635,6.1991694E7
362,Mark Ronson ,Uptown Funk,531,127.0,1,(x56),778194,1.36885294E8
932,Lil Wayne ,Uproar,134,6.0,3,(x1),3113147,5.6468238E7
336,Cardi B ,Up,247,76.0,2,(x4),1133283,1.43743718E8
536,Stephen Sanchez ,Until I Found You,229,0.0,27,0,538505,9.864711E7
425,Sam Smith ,Unholy,98,58.0,1,(x28),2488457,1.20201022E8
755,Thomas Rhett ,Unforgettable,268,0.0,35,0,552787,6.9984146E7
87,French Montana ,Unforgettable,501,136.0,1,(x7),1275953,2.87042302E8
443,Kelly Clarkson ,Underneath the Tree,202,9.0,8,0,2346598,1.15764085E8
805,Chris Brown ,Under The Influence,142,0.0,21,0,641846,6.5353666E7
869,Bad Bunny ,Un Ratito,154,3.0,9,0,1731264,6.0425066E7
772,MadeinTYO ,Uber Everywhere,294,0.0,32,0,397437,6.8560327E7
513,Jack Harlow ,Tyler Herro,285,7.0,9,0,905350,1.02414445E8
926,KAROL G ,Tusa,159,0.0,34,0,621631,5.6824409E7
243,Kodak Black ,Tunnel Vision,396,38.0,5,0,1173162,1.76688536E8
58,Lizzo ,Truth Hurts,535,161.0,2,(x3),1400026,3.21459791E8
804,Ella Mai ,Trip,196,0.0,35,0,590514,6.5368178E7
390,Shawn Mendes ,Treat You Better,321,1.0,10,0,740821,1.29275991E8
209,Fetty Wap ,Trap Queen,622,159.0,1,(x31),844118,1.94792972E8
809,Kodak Black ,Transportin',209,0.0,30,0,567313,6.4739053E7
782,Trippie Redd ,Topanga,161,2.0,10,0,1161478,6.7871555E7
286,Drake ,Toosie Slide,239,79.0,1,(x20),2670968,1.61667752E8
884,Kodak Black ,Too Many Years,273,0.0,61,0,308283,5.9001162E7
510,Sam Smith ,Too Good At Goodbyes,219,32.0,3,(x5),1243963,1.02793276E8
184,Drake ,Too Good,359,150.0,2,(x19),1092508,2.05088227E8
403,Grouplove ,Tongue Tied,525,0.0,100,0,284533,1.25880696E8
746,Rauw Alejandro ,Todo De Ti,161,0.0,14,0,818279,7.0548618E7
177,Bad Bunny ,Tití Me Preguntó,237,151.0,3,(x11),1885979,2.07857104E8
883,Desiigner ,Tiimmy Turner,189,0.0,20,0,555851,5.9015382E7
122,Imagine Dragons ,Thunder,724,0.0,16,0,723572,2.57758821E8
736,Morgan Wallen ,Thought You Should Know,230,0.0,14,0,1392859,7.1563009E7
540,Blueface ,Thotiana,175,15.0,6,0,1269217,9.8052157E7
693,Megan Thee Stallion ,Thot Shit,155,2.0,10,0,903858,7.5741224E7
314,Calvin Harris ,This Is What You Came For,288,106.0,2,(x1),975411,1.49620244E8
506,Childish Gambino ,This Is America,157,29.0,1,(x13),2753489,1.03964722E8
652,The Chainsmokers ,This Feeling,251,0.0,21,0,820199,8.0978407E7
907,Rae Sremmurd ,This Could Be Us,339,0.0,20,0,371328,5.7990446E7
227,Ed Sheeran ,Thinking out Loud,792,118.0,1,(x3),665278,1.82153495E8
470,Billie Eilish ,Therefore I Am,237,15.0,1,(x7),1754735,1.09936841E8
484,Shawn Mendes ,There's Nothing Holdin' Me Back,278,0.0,26,0,711457,1.07955518E8
575,Pop Smoke ,The Woo,215,5.0,3,(x1),1284269,9.3098286E7
828,SZA ,The Weekend,265,0.0,75,0,310749,6.3699242E7
118,Lil Uzi Vert ,The Way Life Goes,834,21.0,4,0,1232419,2.6056517E8
259,Mac Miller ,The Spins,612,0.0,54,0,369869,1.73209349E8
967,Mike Perry ,The Ocean,166,0.0,35,0,451353,5.4469375E7
533,Lord Huron ,The Night We Met,405,0.0,43,0,513171,9.9390592E7
164,Zedd ,The Middle,561,45.0,5,0,1159767,2.23370198E8
189,Young Thug ,The London,401,49.0,1,(x3),2397579,2.03093189E8
175,Tame Impala ,The Less I Know The Better,893,0.0,103,0,323134,2.09554986E8
602,Luke Combs ,The Kind of Love We Make,193,1.0,9,0,972167,8.8164187E7
39,The Weeknd ,The Hills,1243,194.0,1,(x6),1147436,3.92023505E8
346,Nat King Cole ,The Christmas Song (Merry Christmas To You),232,12.0,5,0,3214273,1.4107136E8
19,Roddy Ricch ,The Box,650,197.0,1,(x85),3781452,5.04210201E8
984,Maren Morris ,The Bones,187,0.0,51,0,470810,5.3108609E7
900,Lil Baby ,The Bigger Picture,130,14.0,3,(x3),1140438,5.8137365E7
133,Bruno Mars ,That's What I Like,517,78.0,3,(x3),1236698,2.45642565E8
731,Lil Uzi Vert ,That Way  Bonus Track,173,12.0,3,(x4),1612464,7.2092494E7
203,Dan + Shay ,Tequila,723,0.0,48,0,483056,1.96958667E8
301,Chris Stapleton ,Tennessee Whiskey,747,0.0,34,0,440951,1.5670737E8
440,Cochise ,Tell Em,352,0.0,26,0,651174,1.16861554E8
